id,rank,model,category,actual_response,predicted_response,is_correct,is_chosen,choice_index,input_sequence,logprobs
51,2,ngram-2,animals,dog,dog,True,True,0,"cat",-2.7747
51,3,ngram-2,animals,mouse,cat,False,True,0,"cat,dog",-1.5930
51,4,ngram-2,animals,rat,rat,True,True,0,"cat,dog,mouse",-2.7128
51,5,ngram-2,animals,giraffe,mouse,False,True,0,"cat,dog,mouse,rat",-2.8831
51,6,ngram-2,animals,lion,elephant,False,True,0,"cat,dog,mouse,rat,giraffe",-3.3742
51,7,ngram-2,animals,zebra,tiger,False,True,0,"cat,dog,mouse,rat,giraffe,lion",-2.1118
51,8,ngram-2,animals,rhino,giraffe,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra",-3.8454
51,9,ngram-2,animals,ostrich,hippopotamus,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino",-4.2959
51,10,ngram-2,animals,meerkat,giraffe,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich",-4.5380
51,11,ngram-2,animals,tiger,baboon,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat",-5.1902
51,12,ngram-2,animals,bear,bear,True,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger",-2.5311
51,13,ngram-2,animals,bat,lion,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear",-3.6441
51,14,ngram-2,animals,aardvark,bird,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat",-4.8230
51,15,ngram-2,animals,elephant,anteater,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark",-5.1705
51,16,ngram-2,animals,flea,giraffe,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant",-3.9031
51,17,ngram-2,animals,ferret,cat,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea",-5.1705
51,18,ngram-2,animals,parrot,bird,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret",-4.8203
51,19,ngram-2,animals,hippopotamus,parakeet,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot",-4.3121
51,20,ngram-2,animals,alligator,giraffe,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus",-4.5901
51,21,ngram-2,animals,crocodile,crocodile,True,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator",-2.9369
51,22,ngram-2,animals,frog,alligator,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile",-3.6584
51,23,ngram-2,animals,whale,snake,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile,frog",-4.0304
51,24,ngram-2,animals,shark,dolphin,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile,frog,whale",-3.0216
51,25,ngram-2,animals,clownfish,whale,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile,frog,whale,shark",-3.4561
51,26,ngram-2,animals,guppy,whale,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile,frog,whale,shark,clownfish",-4.7819
51,27,ngram-2,animals,goldfish,aardvark,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile,frog,whale,shark,clownfish,guppy",-5.8579
51,28,ngram-2,animals,snake,bettafish,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile,frog,whale,shark,clownfish,guppy,goldfish",-4.7875
51,29,ngram-2,animals,snail,lizard,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile,frog,whale,shark,clownfish,guppy,goldfish,snake",-4.3018
51,30,ngram-2,animals,deer,butterfly,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile,frog,whale,shark,clownfish,guppy,goldfish,snake,snail",-5.1930
51,31,ngram-2,animals,elk,moose,False,True,0,"cat,dog,mouse,rat,giraffe,lion,zebra,rhino,ostrich,meerkat,tiger,bear,bat,aardvark,elephant,flea,ferret,parrot,hippopotamus,alligator,crocodile,frog,whale,shark,clownfish,guppy,goldfish,snake,snail,deer",-3.8165
